,NN,KW
0,0.005642988171919135,0.003363556433649546
1,0.0019620936444181766,0.0026316884387845236
2,0.002371254923420491,0.0034811948243234766
3,0.007212604130643093,0.00519740962252598
4,0.0016962585985472944,0.0033415061945943503
5,0.002640301981494562,0.0063108221435645324
6,0.0020840412794256484,0.005067099945103127
7,0.0032315784265954453,0.003684298964934939
8,0.0032211675012111135,0.007225408373157561
9,0.004580933974640155,0.0032127699766414156
10,0.0041004084889729436,0.0027310812884836556
11,0.002996973169113219,0.003273072564914445
12,0.0042115299588717705,0.00366703374803754
13,0.0056290074764898225,0.0038680176543526576
14,0.002523284893077727,0.0019339680828499434
15,0.00362027963191324,0.0034343923871948696
16,0.0006770793370072406,0.00309530744231331
17,0.004130677865945783,0.006333980573982858
18,0.0012594195578331353,0.005147078390493223
19,0.005788856550580496,0.005906398543911976
20,0.0008973977606395961,0.002926547489527526
21,0.004228253331268015,0.003525908435797801
22,0.003212098614119835,0.0031443192774768306
23,0.003268974783680958,0.001713776659397239
24,0.0027209067407324566,0.0016685790541625398
25,0.004123380313834466,0.0012038316888008382
26,0.000949279275674938,0.008832077097884639
27,0.0015180279374088302,0.0036695947654692873
28,0.0013784014684912593,0.0024486220900343364
29,0.003303211309173149,0.0068615589892086805
min,0.0006770793370072406,0.0012038316888008382
max,0.007212604130643093,0.008832077097884639
mean,0.003172689036571467,0.003963363371385789
std,0.0016057380336113353,0.001806977031235679
